index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
4,0435,1,48.0,4.0,8.31,2.5,15.0,1.02,3.43,7.0,16.0,6.0
5,0435,3,41.0,6.0,9.48,2.4,16.0,0.85,3.15,4.0,16.0,3.0
6,0435,4,41.0,4.0,10.29,1.88,11.0,0.87,4.1,7.0,16.0,3.0
7,0435,6,54.0,4.0,10.24,1.82,23.0,0.72,3.18,10.0,17.0,3.0
8,0435,7,54.0,7.0,9.85,2.33,17.0,0.78,3.38,7.0,18.0,6.0
9,0435,8,25.0,7.0,8.9,2.33,10.0,0.81,2.78,7.0,10.0,6.0
10,0435,9,39.0,7.0,10.79,1.9,16.0,0.76,3.0,9.0,13.0,3.0
11,0435,10,17.0,7.0,9.0,4.0,7.0,0.63,2.83,9.0,5.0,3.0
12,0435,11,51.0,3.0,8.84,2.04,16.0,0.91,3.43,7.0,18.0,3.0
13,0435,12,69.0,8.0,9.67,2.83,19.0,0.81,4.06,7.0,19.0,4.0
14,0435,13,47.0,7.0,9.94,1.61,19.0,0.94,2.75,9.0,11.0,7.0
15,0435,14,23.0,3.0,10.29,1.67,9.0,0.92,2.88,4.0,6.0,7.0
16,0435,15,52.0,8.0,10.26,1.5,19.0,0.88,3.47,6.0,13.0,3.0
17,0435,16,59.0,6.0,10.66,2.11,21.0,0.88,3.28,10.0,20.0,3.0
18,0435,17,67.0,6.0,9.46,2.04,31.0,0.82,3.05,6.0,34.0,9.0
19,0435,18,49.0,11.0,7.44,2.19,28.0,0.69,2.13,5.0,32.0,9.0
20,0435,19,95.0,4.0,9.23,2.05,31.0,1.02,3.52,9.0,35.0,8.0
21,0435,20,66.0,4.0,8.63,1.96,25.0,0.97,3.3,6.0,29.0,6.0
22,0435,21,31.0,4.0,10.86,1.75,8.0,1.11,3.88,5.0,5.0,3.0
23,0435,24,23.0,3.0,10.37,2.38,7.0,0.72,3.83,4.0,7.0,0.0
24,0435,25,97.0,9.0,9.14,2.35,30.0,0.81,3.34,14.0,28.0,8.0
25,0435,26,96.0,16.0,7.85,2.88,33.0,0.83,3.2,14.0,38.0,8.0
26,0435,27,25.0,16.0,10.76,2.2,16.0,0.57,3.13,6.0,6.0,8.0
27,0435,28,70.0,3.0,8.04,2.48,27.0,0.84,3.18,4.0,23.0,6.0
28,0435,29,50.0,3.0,11.22,2.23,20.0,0.61,2.63,11.0,17.0,6.0
29,0435,30,34.0,3.0,8.33,2.31,11.0,1.06,4.25,5.0,15.0,6.0
30,0435,32,16.0,3.0,7.0,2.25,5.0,0.89,3.2,5.0,7.0,3.0
31,0435,33,133.0,8.0,8.84,2.7,41.0,0.91,3.5,11.0,45.0,7.0
32,0435,34,25.0,3.0,9.95,2.54,7.0,0.76,3.57,3.0,7.0,3.0
