"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pmascul","pfemeni","pob0_4","p5_mas","pob6_14","pob12_","pob15_","pob15_17","pob15_24","pobf15_49","pob18_","pmasc18_","pfemen18_","psderss","pcderss","pderimss","pderiste","pnacent","pnacoent","p5_res95","p5_reso95","pcondisc","pcdismot","pcdisaud","pcdisvis","pcdismen","pcdislen","psindisc","p6_14slee","p6_14nlee","p15_alfab","p15_analf","p5_asiesc","p5_naesc","p6_14aesc","p6_14naesc","p15_17aesc","p15_24aesc","p15_24nesc","p15_sinstr","p15_sprima","p15_cprima","p15_pospri","p15_ssecu","p15_csecu","p15_sinsec","p15_consec","p15_cmedss","p18_smedsu","p18_cmedsu","p18_csuper","gradoesco","psolter12_","pcasada12_","p5_hli","p5_hliyne","p5_hliye","p5_catolic","p5_ncatoli","p5_sinreli","pecoactiv","pecoinact","pocupada","pocusecp","pocusecs","pocusect","pocuningr","p_1sm","p1_2sm","p2_5sm","p6_10sm","p10_sm","pnotraba","p_32htra","p33_40htr","p41_48htr","p48_htr","totvivhab","vivparhab","ocuvivpar","pro_ovp","pro_ocvp","vp_pardes","vp_tecdes","vp_pisdes","vp_ccuart","vp2_5cuar","vp_2cuar","v_1cuarto","vp_cocgas","vp_coclen","vp_coccar","vp_cocpet","vp_sersan","vp_aguent","vp_drenaj","vp_electr","vp_dreagu","vp_dreele","vp_aguele","vp_agdrel","vp_noade","vp_propia","vp_ppagad","vp_ppagan","vp_rentad","vp_cbiene","vp_sbiene","vp_radio","vp_tv","vp_video","vp_refri","vp_lavad","vp_telef","vp_boiler","vp_autom","tothog","hogjefm","hogjeff","pobhog","phogjefm","phogjeff"
02,Baja California,000,Total de la entidad Baja California,0000,TOTAL DE LA ENTIDAD,,,,2487367,1252581,1234786,268682,2010869,432240,1655051,1523780,129686,452673,627495,1394094,697580,696514,947572,1272846,1110928,119867,1188787,1085470,1740820,257078,35103,19559,4217,5714,6161,1178,2223201,385601,43755,1467148,53694,32137,17792,395945,32829,75362,147672,302614,96144,200178,272925,943989,107050,341416,569609,457552,486437,937182,268180,178995,8,578383,925760,37685,1120,34842,1637088,218574,342317,914853,726285,906369,57558,331799,469249,11316,26641,163411,441194,132807,67265,13662,127740,196159,325803,201245,610057,559402,2272952,4.06,1.32,6086,11306,531722,97690,416479,76555,42473,543317,4180,92,95,525154,499982,458047,543561,433467,453976,494869,431597,6356,402325,288867,93069,112992,62832,4713,495945,531216,324976,500403,402504,312408,300594,370276,568090,446585,121505,2273149,1832537,440612
02,Baja California,000,Total de la entidad Baja California,9998,LOCALIDADES DE UNA VIVIENDA,,,,6122,3382,2740,524,5427,1124,4521,4189,328,1051,1285,3861,2181,1680,3545,2113,1964,126,3566,2379,4894,512,147,74,22,24,32,8,5788,969,147,3837,347,56,44,968,146,171,295,752,565,1072,875,1654,272,690,2514,974,680,3241,411,188,6,1662,2412,142,1,131,4385,603,962,2244,2253,2233,1303,309,538,151,115,684,826,118,54,37,316,362,763,565,1567,1520,5649,3.72,1.47,12,74,1364,287,1093,226,108,1276,225,2,1,1414,664,679,986,429,527,535,365,299,1027,932,57,27,44,54,1244,1072,441,936,703,360,439,1128,1543,1348,195,5651,4935,716
02,Baja California,000,Total de la entidad Baja California,9999,LOCALIDADES DE DOS VIVIENDAS,,,,6524,3480,3044,494,4397,873,3694,3413,271,863,1115,3142,1723,1419,2777,1920,1701,154,3020,1865,3968,378,124,59,26,25,22,6,4752,742,126,3104,307,55,50,756,107,126,214,641,485,918,626,1369,261,563,2029,834,535,2653,304,172,6,1233,2105,156,9,135,3584,460,746,1794,1883,1790,1012,305,403,78,70,553,755,124,57,21,235,291,680,481,1714,1307,4823,3.69,1.45,26,42,1179,285,915,209,129,1181,114,1,0,1212,696,625,995,466,526,609,419,164,921,836,26,23,37,37,1090,1042,422,966,724,394,451,988,1327,1158,169,4825,4256,569
02,Baja California,001,Ensenada,0000,TOTAL MUNICIPAL,,,,370730,185494,185236,38571,298617,67858,243876,222617,20831,66491,91141,201786,100164,101622,138326,191467,156101,22677,188718,147968,263838,33415,5748,3046,755,1037,997,196,329085,59567,7952,209861,12476,5021,2522,61351,6112,12073,22685,43545,18527,35453,37036,130408,15806,43671,91056,61231,69177,137604,37507,25575,8,84361,136808,16632,754,14945,227374,41715,67365,129583,112703,128170,20854,34555,68139,2188,6555,34691,55458,14657,6233,2337,22754,23868,46412,26675,92336,84137,335848,3.99,1.31,869,2294,79206,17528,59476,12427,8705,81085,1256,13,16,77412,74977,62554,79202,59129,61672,73055,58694,2172,59776,46259,10601,15193,8813,2213,72522,75223,43053,69485,59956,41478,42553,54249,85550,67452,18098,335891,273225,62666
02,Baja California,001,Ensenada,0001,ENSENADA,1163639,315149,20,223492,110534,112958,20713,185423,38464,154796,142514,12232,40090,58270,130282,63494,66788,63959,138106,110400,17529,119855,85901,166467,18236,3873,2099,505,695,663,122,200826,35150,3151,139004,3339,3232,912,36658,1599,8520,17039,22928,6368,15212,21253,98779,10360,30609,42850,42527,56252,77701,29824,21915,9,54635,84394,2179,11,2093,148319,23107,34925,84638,69231,83830,2244,25916,52570,1090,2836,17161,40170,12054,5220,1446,13715,17505,28098,19215,57409,53173,205293,3.86,1.15,205,452,51753,7391,40193,6173,2882,52175,142,5,7,50697,50609,47759,52542,46129,47588,50298,46014,123,38537,28913,7840,10680,7802,214,48261,51524,32009,49311,42697,33444,33852,37108,53953,41099,12854,205311,162425,42886
02,Baja California,001,Ensenada,0029,RANCHO AGUA CALIENTE,1161809,320124,720,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
02,Baja California,001,Ensenada,0035,EJIDO 18 DE MARZO (EL ALAMO),1160316,313536,1106,23,12,11,0,15,1,14,14,3,3,2,11,6,5,11,4,4,0,12,3,15,0,2,2,0,2,0,0,13,1,0,14,0,0,0,0,1,0,0,3,0,12,2,0,0,0,14,0,0,11,0,0,3,5,7,1,0,1,15,0,0,6,8,6,4,1,1,2,0,1,2,1,0,0,1,2,2,1,10,8,15,1.88,0.79,0,2,7,3,5,3,0,5,3,0,0,8,0,0,2,0,0,0,0,6,7,6,1,0,0,2,6,2,1,3,2,2,2,5,8,6,2,15,13,2
02,Baja California,001,Ensenada,0037,RANCHO ALMARAZ,1161912,315730,680,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
02,Baja California,001,Ensenada,0045,RANCHO AVIÑA,1155800,303802,20,28,15,13,3,25,5,21,19,2,4,8,17,9,8,22,6,3,3,22,6,25,0,0,0,0,0,0,0,28,4,1,19,0,1,0,5,0,2,3,1,1,2,3,13,1,4,6,5,8,11,4,2,9,9,12,0,0,0,25,0,0,5,16,5,4,1,0,0,0,4,0,0,0,0,0,0,4,1,5,5,28,5.60,1.17,0,0,5,0,4,1,0,5,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,4,5,1,5,5,4,3,5,5,0,5,28,0,28
02,Baja California,001,Ensenada,0046,BAHIA DE LOS ANGELES,1133332,285643,0,698,367,331,78,560,145,432,391,31,93,147,360,196,164,462,102,53,45,454,179,520,34,4,1,1,0,0,2,622,124,20,377,14,20,1,136,9,4,5,88,34,85,97,174,40,76,216,118,56,304,37,18,7,117,268,5,0,4,451,68,106,254,177,254,81,36,131,3,23,98,100,15,5,3,82,37,47,77,187,172,638,3.71,1.69,0,5,159,66,102,51,26,166,3,0,0,163,59,119,115,51,88,49,44,20,141,127,6,10,1,12,104,99,56,99,67,3,28,116,174,148,26,638,565,73
