"index_2010","AGEB","P_TOTAL_2010","POB65_MAS_2010","GRAPROES_2010","PROM_HNV_2010","VIVTOT_2010","PRO_OCUP_C_2010","PROM_OCUP_2010","VPH_PC_2010","OTRAENT_2010","P_0A5_2010","index_2020","P_TOTAL_2020","POB65_MAS_2020","GRAPROES_2020","PROM_HNV_2020","VIVTOT_2020","PRO_OCUP_C_2020","PROM_OCUP_2020","VPH_PC_2020","OTRAENT_2020","P_0A5_2020","cambio_poblacion","cambio_ninos","cambio_adultos_mayores","cambio_educacion","cambio_hijos","cambio_viviendas","cambio_ocupantes","cambio_computadora","puntaje_poblacion","puntaje_ninos","puntaje_adultos_mayores","puntaje_educacion","puntaje_hijos","puntaje_viviendas","puntaje_ocupantes","puntaje_computadora","ITSE"
4,"0435",3632,325,9.61730158730159,2.19333333333333,1321,0.853015873015873,3.35253968253968,584,1241,419,442,3798,457,10.7689830508475,1.98220338983051,1382,0.776610169491525,3.13762711864407,782,1273,259,166,-160,132,1.15168146354587,-0.211129943502825,61,-0.214912563895615,198,1,1,-1,-1,1,1,1,1,4
68,"044A",1539,224,9.56964285714286,2.26428571428571,549,0.750714285714286,3.15214285714286,254,478,135,502,1429,257,10.522962962963,2.07481481481481,573,0.625925925925926,2.64666666666667,330,471,83,-110,-52,33,0.953320105820106,-0.1894708994709,24,-0.505476190476191,76,-1,1,1,-1,1,-1,1,-1,0
97,"0454",2211,188,10.9947169811321,1.92905660377358,742,0.66188679245283,3.14584905660377,438,760,118,530,2339,296,12.0516981132075,1.61150943396226,883,0.608301886792453,2.84415094339623,531,718,118,128,0,108,1.05698113207547,-0.317547169811321,141,-0.301698113207547,93,1,-1,-1,-1,1,1,1,1,2
151,"0488",2045,140,8.20678571428572,2.40535714285714,635,1.05607142857143,3.79607142857143,189,743,290,584,2214,251,9.37357142857143,2.25571428571429,750,0.893214285714286,3.31178571428571,309,728,233,169,-57,111,1.16678571428571,-0.149642857142857,115,-0.484285714285714,120,1,1,-1,-1,1,1,1,1,4
180,"0492",557,15,7.67,0.912826086956522,281,0.372608695652174,1.64826086956522,189,271,39,613,956,131,12.295,1.26472222222222,454,0.584722222222222,2.38694444444444,360,368,33,399,-6,116,4.625,0.351896135265701,173,0.738683574879227,171,1,-1,-1,1,-1,1,-1,1,0
227,"0505",730,135,14.0261538461538,1.99923076923077,300,0.506153846153846,2.86230769230769,199,282,20,650,784,164,14.7092307692308,1.88692307692308,353,0.499230769230769,2.66461538461538,250,279,23,54,3,29,0.683076923076923,-0.112307692307692,53,-0.197692307692308,51,-1,-1,1,-1,1,1,1,-1,0
241,"0524",3040,276,9.12704918032787,2.50016393442623,1083,0.816885245901639,3.29606557377049,497,1074,364,664,2567,319,9.64758064516129,1.78677419354839,1083,0.700645161290323,2.51096774193548,493,830,157,-473,-207,43,0.52053146483342,-0.713389740877842,0,-0.785097831835008,-4,-1,1,1,-1,1,-1,1,-1,0
303,"0543",1871,223,8.49636363636364,2.46145454545455,679,0.914181818181818,3.32745454545455,232,669,174,727,1827,281,9.37678571428571,2.24517857142857,701,0.801607142857143,2.93267857142857,324,547,58,-44,-116,58,0.880422077922079,-0.216275974025974,22,-0.394775974025974,92,-1,1,1,-1,1,-1,1,1,2
359,"0558",2426,194,12.3410526315789,1.79578947368421,903,0.635789473684211,3.03947368421053,612,873,196,784,2399,279,13.0942105263158,1.77105263157895,952,0.588947368421053,2.79315789473684,663,745,140,-27,-56,85,0.753157894736843,-0.0247368421052632,49,-0.246315789473684,51,-1,1,-1,-1,-1,-1,1,-1,-4
379,"0562",1575,272,11.7253846153846,1.90807692307692,630,0.618846153846154,2.90807692307692,317,469,146,804,1280,246,12.9269230769231,1.84692307692308,566,0.586153846153846,2.64461538461538,360,379,190,-295,44,-26,1.20153846153846,-0.0611538461538459,-64,-0.263461538461538,43,-1,-1,1,-1,-1,-1,1,-1,-4
